AssessmentName,EpisodeId,IterationIndex,"Timestamp [UTC]",SimConfig,SimState,SimAction,Reward,CumulativeReward,GoalMetrics,Terminal,FinishReason,LessonIndex,EpisodeType
"custom_assessment_1","08422ee3-4d92-485a-b74c-16f167bc49e8",1,"9/20/2022, 8:08:33.612 PM","{""mode"":3}","{""cumsumfert"":0,""dap"":0,""dtt"":0,""ep"":0,""grnwt"":0,""istage"":7,""nstres"":0,""rtdep"":0,""srad"":13.334671020507812,""sw"":[0.0860000029206276,0.0860000029206276,0.0860000029206276,0.0860000029206276,0.0860000029206276,0.07599999755620956,0.07599999755620956,0.12999999523162842,0.257999986410141],""swfac"":0,""tmax"":22.646154403686523,""topwt"":0,""totir"":0,""vstage"":0,""wtdep"":0,""xlai"":0,""mode"":3,""_gym_reward"":0,""_gym_terminal"":false}",,0,"15700.7587890625","{}",false,Interrupted,0,Assessment
"custom_assessment_1","08422ee3-4d92-485a-b74c-16f167bc49e8",2,"9/20/2022, 8:08:33.636 PM","{""mode"":3}","{""cumsumfert"":0,""dap"":0,""dtt"":0,""ep"":0,""grnwt"":0,""istage"":7,""nstres"":0,""rtdep"":0,""srad"":8.352954864501953,""sw"":[0.14326199889183044,0.11386899650096892,0.09785900264978407,0.09366700053215028,0.09086599946022034,0.08070400357246399,0.07562900334596634,0.12944099307060242,0.2570509910583496],""swfac"":0,""tmax"":21.468748092651367,""topwt"":0,""totir"":0,""vstage"":0,""wtdep"":180,""xlai"":0,""mode"":3,""_gym_reward"":0,""_gym_terminal"":false}","{""amir"":0,""anfer"":0}",0,"15700.7587890625","{}",false,Interrupted,0,Assessment
"custom_assessment_1","08422ee3-4d92-485a-b74c-16f167bc49e8",3,"9/20/2022, 8:08:33.660 PM","{""mode"":3}","{""cumsumfert"":0,""dap"":0,""dtt"":0,""ep"":0,""grnwt"":0,""istage"":7,""nstres"":0,""rtdep"":0,""srad"":11.856380462646484,""sw"":[0.1020290032029152,0.09239699691534042,0.08836899697780609,0.08745899796485901,0.08674799650907516,0.08928599953651428,0.08489000052213669,0.12869800627231598,0.25578901171684265],""swfac"":0,""tmax"":13.6761474609375,""topwt"":0,""totir"":0,""vstage"":0,""wtdep"":180,""xlai"":0,""mode"":3,""_gym_reward"":0,""_gym_terminal"":false}","{""amir"":0,""anfer"":0}",0,"15700.7587890625","{}",false,Interrupted,0,Assessment
"custom_assessment_1","08422ee3-4d92-485a-b74c-16f167bc49e8",4,"9/20/2022, 8:08:33.689 PM","{""mode"":3}","{""cumsumfert"":0,""dap"":0,""dtt"":0,""ep"":0,""grnwt"":0,""istage"":7,""nstres"":0,""rtdep"":0,""srad"":9.24632167816162,""sw"":[0.1440429985523224,0.13382500410079956,0.13496799767017365,0.13540300726890564,0.13121800124645233,0.10417500138282776,0.09737899899482728,0.13411200046539307,0.25940799713134766],""swfac"":0,""tmax"":16.37026596069336,""topwt"":0,""totir"":0,""vstage"":0,""wtdep"":179.58587646484375,""xlai"":0,""mode"":3,""_gym_reward"":0,""_gym_terminal"":false}","{""amir"":0,""anfer"":0}",0,"15700.7587890625","{}",false,Interrupted,0,Assessment
"custom_assessment_1","08422ee3-4d92-485a-b74c-16f167bc49e8",5,"9/20/2022, 8:08:33.717 PM","{""mode"":3}","{""cumsumfert"":0,""dap"":0,""dtt"":0,""ep"":0,""grnwt"":0,""istage"":7,""nstres"":0,""rtdep"":0,""srad"":15.055938720703123,""sw"":[0.10127399861812592,0.09877300262451172,0.10088100284337996,0.1017099991440773,0.10059600323438644,0.09408199787139893,0.09190700203180312,0.13061299920082092,0.2580130100250244],""swfac"":0,""tmax"":15.26695442199707,""topwt"":0,""totir"":0,""vstage"":0,""wtdep"":179.9961700439453,""xlai"":0,""mode"":3,""_gym_reward"":0,""_gym_terminal"":false}","{""anfer"":0,""amir"":0}",0,"15700.7587890625","{}",false,Interrupted,0,Assessment
"custom_assessment_1","08422ee3-4d92-485a-b74c-16f167bc49e8",6,"9/20/2022, 8:08:33.754 PM","{""mode"":3}","{""cumsumfert"":0,""dap"":0,""dtt"":0,""ep"":0,""grnwt"":0,""istage"":7,""nstres"":0,""rtdep"":0,""srad"":13.939251899719238,""sw"":[0.0888260006904602,0.08732099831104279,0.08940699696540833,0.09023399651050568,0.09011399745941162,0.090659998357296,0.0912960022687912,0.12986500561237335,0.2567490041255951],""swfac"":0,""tmax"":13.155462265014648,""topwt"":0,""totir"":0,""vstage"":0,""wtdep"":180,""xlai"":0,""mode"":3,""_gym_reward"":0,""_gym_terminal"":false}","{""anfer"":0,""amir"":0}",0,"15700.7587890625","{}",false,Interrupted,0,Assessment
"custom_assessment_1","08422ee3-4d92-485a-b74c-16f167bc49e8",7,"9/20/2022, 8:08:33.797 PM","{""mode"":3}","{""cumsumfert"":0,""dap"":0,""dtt"":0,""ep"":0,""grnwt"":0,""istage"":7,""nstres"":0,""rtdep"":0,""srad"":14.268705368041992,""sw"":[0.08033899962902069,0.08415299654006958,0.08539900183677673,0.08622299879789352,0.08644600212574005,0.08986300230026245,0.09066200256347656,0.12922200560569763,0.25668200850486755],""swfac"":0,""tmax"":12.288835525512695,""topwt"":0,""totir"":0,""vstage"":0,""wtdep"":180,""xlai"":0,""mode"":3,""_gym_reward"":0,""_gym_terminal"":false}","{""anfer"":0,""amir"":0}",0,"15700.7587890625","{}",false,Interrupted,0,Assessment
"custom_assessment_1","08422ee3-4d92-485a-b74c-16f167bc49e8",8,"9/20/2022, 8:08:33.828 PM","{""mode"":3}","{""cumsumfert"":0,""dap"":0,""dtt"":0,""ep"":0,""grnwt"":0,""istage"":7,""nstres"":0,""rtdep"":0,""srad"":12.595321655273438,""sw"":[0.07292299717664719,0.08118300139904022,0.08368799835443497,0.08501400053501129,0.08548799902200699,0.08909299969673157,0.09004700183868408,0.12846699357032776,0.2553989887237549],""swfac"":0,""tmax"":13.70701789855957,""topwt"":0,""totir"":0,""vstage"":0,""wtdep"":180,""xlai"":0,""mode"":3,""_gym_reward"":0,""_gym_terminal"":false}","{""amir"":0,""anfer"":0}",0,"15700.7587890625","{}",false,Interrupted,0,Assessment
"custom_assessment_1","08422ee3-4d92-485a-b74c-16f167bc49e8",9,"9/20/2022, 8:08:33.861 PM","{""mode"":3}","{""cumsumfert"":0,""dap"":0,""dtt"":0,""ep"":0,""grnwt"":0,""istage"":7,""nstres"":0,""rtdep"":0,""srad"":6.875494480133057,""sw"":[0.09330999851226808,0.08346199989318848,0.08361499756574631,0.08498799800872803,0.08547499775886536,0.08908600360155106,0.09004399925470352,0.1284639984369278,0.25539401173591614],""swfac"":0,""tmax"":14.015192031860352,""topwt"":0,""totir"":0,""vstage"":0,""wtdep"":180,""xlai"":0,""mode"":3,""_gym_reward"":0,""_gym_terminal"":false}","{""amir"":0,""anfer"":0}",0,"15700.7587890625","{}",false,Interrupted,0,Assessment
"custom_assessment_1","08422ee3-4d92-485a-b74c-16f167bc49e8",10,"9/20/2022, 8:08:33.889 PM","{""mode"":3}","{""cumsumfert"":0,""dap"":0,""dtt"":0,""ep"":0,""grnwt"":0,""istage"":7,""nstres"":0,""rtdep"":0,""srad"":12.635685920715332,""sw"":[0.08628900349140167,0.0830869972705841,0.08354199677705765,0.08496200293302536,0.08546199649572372,0.08907900005578995,0.09004099667072296,0.12846100330352783,0.255389004945755],""swfac"":0,""tmax"":11.008349418640137,""topwt"":0,""totir"":0,""vstage"":0,""wtdep"":180,""xlai"":0,""mode"":3,""_gym_reward"":0,""_gym_terminal"":false}","{""amir"":0,""anfer"":0}",0,"15700.7587890625","{}",false,Interrupted,0,Assessment
